============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	45.000
Batch Threshold:		45.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-45/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
148: E[0:00:01]-R[0:05:57]: Return=-58.00, Steps=13, Features = 167
270: E[0:00:02]-R[0:06:24]: Return=-69.00, Steps=10, Features = 218
359: E[0:00:03]-R[0:07:13]: Return=-62.00, Steps=14, Features = 262
503: E[0:00:04]-R[0:06:53]: Return=-73.00, Steps=10, Features = 280
625: E[0:00:05]-R[0:06:54]: Return=-67.00, Steps=12, Features = 299
734: E[0:00:06]-R[0:07:15]: Return=-35.00, Steps=31, Features = 320
843: E[0:00:08]-R[0:07:25]: Return=-89.00, Steps=30, Features = 344
968: E[0:00:09]-R[0:07:24]: Return=-73.00, Steps=13, Features = 374
1048: E[0:00:10]-R[0:07:38]: Return=-76.00, Steps=10, Features = 395
1164: E[0:00:11]-R[0:07:35]: Return=-85.00, Steps=17, Features = 411
1260: E[0:00:12]-R[0:07:50]: Return=-94.00, Steps=22, Features = 417
1351: E[0:00:14]-R[0:08:09]: Return=-138.00, Steps=48, Features = 440
1422: E[0:00:15]-R[0:08:20]: Return=-11.00, Steps=10, Features = 457
1526: E[0:00:16]-R[0:08:23]: Return=-68.00, Steps=25, Features = 478
1651: E[0:00:17]-R[0:08:23]: Return=-60.00, Steps=26, Features = 497
1744: E[0:00:18]-R[0:08:23]: Return=-109.00, Steps=64, Features = 498
1835: E[0:00:20]-R[0:08:32]: Return=-103.00, Steps=27, Features = 517
1943: E[0:00:21]-R[0:08:41]: Return=-86.00, Steps=56, Features = 531
2080: E[0:00:22]-R[0:08:32]: Return=-105.00, Steps=27, Features = 546
2197: E[0:00:23]-R[0:08:30]: Return=-27.00, Steps=17, Features = 571
2332: E[0:00:25]-R[0:08:26]: Return=-99.00, Steps=42, Features = 582
2417: E[0:00:26]-R[0:08:31]: Return=-79.00, Steps=41, Features = 594
2525: E[0:00:27]-R[0:08:27]: Return=-74.00, Steps=10, Features = 605
2652: E[0:00:28]-R[0:08:22]: Return=-82.00, Steps=14, Features = 621
2768: E[0:00:29]-R[0:08:17]: Return=-76.00, Steps=12, Features = 635
2891: E[0:00:30]-R[0:08:12]: Return=-77.00, Steps=12, Features = 646
3012: E[0:00:31]-R[0:08:07]: Return=-89.00, Steps=18, Features = 657
3134: E[0:00:32]-R[0:08:03]: Return=-70.00, Steps=10, Features = 664
3255: E[0:00:33]-R[0:07:59]: Return=-33.00, Steps=10, Features = 683
3347: E[0:00:34]-R[0:08:00]: Return=3.00, Steps=10, Features = 694
3455: E[0:00:35]-R[0:07:58]: Return=-18.00, Steps=10, Features = 704
3546: E[0:00:37]-R[0:08:00]: Return=-73.00, Steps=10, Features = 714
3604: E[0:00:38]-R[0:08:05]: Return=-52.00, Steps=17, Features = 718
3662: E[0:00:39]-R[0:08:10]: Return=-37.00, Steps=10, Features = 725
3748: E[0:00:40]-R[0:08:12]: Return=-94.00, Steps=23, Features = 746
3831: E[0:00:41]-R[0:08:13]: Return=-53.00, Steps=10, Features = 747
3903: E[0:00:42]-R[0:08:16]: Return=-82.00, Steps=15, Features = 759
4005: E[0:00:43]-R[0:08:15]: Return=-39.00, Steps=22, Features = 768
4070: E[0:00:44]-R[0:08:19]: Return=-76.00, Steps=13, Features = 772
4158: E[0:00:45]-R[0:08:19]: Return=-37.00, Steps=12, Features = 788
4274: E[0:00:46]-R[0:08:16]: Return=2.00, Steps=10, Features = 794
4386: E[0:00:47]-R[0:08:13]: Return=-54.00, Steps=10, Features = 807
4485: E[0:00:48]-R[0:08:11]: Return=-35.00, Steps=12, Features = 822
4592: E[0:00:50]-R[0:08:10]: Return=-23.00, Steps=18, Features = 835
4696: E[0:00:51]-R[0:08:08]: Return=-35.00, Steps=11, Features = 841
4815: E[0:00:52]-R[0:08:06]: Return=-81.00, Steps=18, Features = 857
4871: E[0:00:53]-R[0:08:10]: Return=-22.00, Steps=13, Features = 862
4954: E[0:00:54]-R[0:08:10]: Return=-40.00, Steps=22, Features = 867
5061: E[0:00:55]-R[0:08:08]: Return=-39.00, Steps=23, Features = 878
5169: E[0:00:56]-R[0:08:06]: Return=-70.00, Steps=19, Features = 887
5277: E[0:00:57]-R[0:08:04]: Return=-15.00, Steps=10, Features = 892
5389: E[0:00:58]-R[0:08:02]: Return=-76.00, Steps=10, Features = 903
5465: E[0:00:59]-R[0:08:04]: Return=-35.00, Steps=11, Features = 911
5554: E[0:01:00]-R[0:08:03]: Return=-75.00, Steps=11, Features = 913
5670: E[0:01:02]-R[0:08:01]: Return=-106.00, Steps=39, Features = 928
5758: E[0:01:03]-R[0:08:01]: Return=-74.00, Steps=11, Features = 934
5854: E[0:01:04]-R[0:08:01]: Return=-3.00, Steps=18, Features = 941
5979: E[0:01:05]-R[0:07:59]: Return=-77.00, Steps=39, Features = 943
6059: E[0:01:06]-R[0:07:59]: Return=-16.00, Steps=33, Features = 946
6155: E[0:01:07]-R[0:07:58]: Return=-86.00, Steps=36, Features = 948
6229: E[0:01:08]-R[0:08:00]: Return=-81.00, Steps=12, Features = 954
6324: E[0:01:09]-R[0:07:59]: Return=-16.00, Steps=21, Features = 963
6418: E[0:01:10]-R[0:07:58]: Return=-71.00, Steps=10, Features = 969
6516: E[0:01:12]-R[0:07:58]: Return=-63.00, Steps=15, Features = 974
6628: E[0:01:13]-R[0:07:56]: Return=-93.00, Steps=33, Features = 978
6711: E[0:01:14]-R[0:07:56]: Return=-37.00, Steps=10, Features = 985
6817: E[0:01:15]-R[0:07:54]: Return=-35.00, Steps=10, Features = 999
6919: E[0:01:16]-R[0:07:53]: Return=-76.00, Steps=13, Features = 1002
7033: E[0:01:17]-R[0:07:51]: Return=-95.00, Steps=24, Features = 1007
7130: E[0:01:18]-R[0:07:49]: Return=-55.00, Steps=10, Features = 1011
7235: E[0:01:19]-R[0:07:49]: Return=-66.00, Steps=23, Features = 1020
7315: E[0:01:21]-R[0:07:51]: Return=-21.00, Steps=24, Features = 1028
7406: E[0:01:22]-R[0:07:50]: Return=-54.00, Steps=12, Features = 1028
7506: E[0:01:23]-R[0:07:49]: Return=-67.00, Steps=25, Features = 1032
7573: E[0:01:24]-R[0:07:50]: Return=9.00, Steps=10, Features = 1036
7661: E[0:01:25]-R[0:07:49]: Return=-17.00, Steps=12, Features = 1044
7768: E[0:01:26]-R[0:07:48]: Return=-56.00, Steps=13, Features = 1046
7852: E[0:01:27]-R[0:07:48]: Return=-40.00, Steps=12, Features = 1049
7932: E[0:01:29]-R[0:07:50]: Return=-60.00, Steps=12, Features = 1060
8057: E[0:01:30]-R[0:07:48]: Return=-34.00, Steps=35, Features = 1064
8120: E[0:01:31]-R[0:07:49]: Return=20.00, Steps=13, Features = 1067
8234: E[0:01:32]-R[0:07:49]: Return=4.00, Steps=39, Features = 1067
8312: E[0:01:34]-R[0:07:49]: Return=-64.00, Steps=33, Features = 1076
8435: E[0:01:35]-R[0:07:48]: Return=6.00, Steps=36, Features = 1085
8498: E[0:01:36]-R[0:07:50]: Return=-44.00, Steps=17, Features = 1093
8602: E[0:01:37]-R[0:07:49]: Return=-33.00, Steps=41, Features = 1094
8713: E[0:01:39]-R[0:07:49]: Return=4.00, Steps=28, Features = 1099
8779: E[0:01:40]-R[0:07:50]: Return=-101.00, Steps=24, Features = 1103
8831: E[0:01:41]-R[0:07:52]: Return=-21.00, Steps=23, Features = 1106
8910: E[0:01:42]-R[0:07:52]: Return=-20.00, Steps=23, Features = 1111
8992: E[0:01:44]-R[0:07:52]: Return=-17.00, Steps=20, Features = 1117
9097: E[0:01:45]-R[0:07:51]: Return=-54.00, Steps=10, Features = 1123
9168: E[0:01:46]-R[0:07:51]: Return=-83.00, Steps=38, Features = 1130
9258: E[0:01:47]-R[0:07:50]: Return=-73.00, Steps=11, Features = 1131
9315: E[0:01:48]-R[0:07:52]: Return=-57.00, Steps=30, Features = 1133
9378: E[0:01:49]-R[0:07:53]: Return=-50.00, Steps=20, Features = 1138
9467: E[0:01:50]-R[0:07:53]: Return=-56.00, Steps=10, Features = 1144
9549: E[0:01:51]-R[0:07:52]: Return=-98.00, Steps=32, Features = 1148
9644: E[0:01:52]-R[0:07:51]: Return=-81.00, Steps=12, Features = 1151
9744: E[0:01:54]-R[0:07:49]: Return=-37.00, Steps=11, Features = 1154
9833: E[0:01:55]-R[0:07:48]: Return=-35.00, Steps=10, Features = 1167
9917: E[0:01:56]-R[0:07:47]: Return=-84.00, Steps=16, Features = 1168
9977: E[0:01:57]-R[0:07:48]: Return=-18.00, Steps=34, Features = 1171
10000 >>> E[0:01:57]-R[0:07:49]: Return=-104.00, Steps=27, Features = 1171
10063: E[0:01:58]-R[0:07:50]: Return=-35.00, Steps=10, Features = 1172
10149: E[0:01:59]-R[0:07:49]: Return=-17.00, Steps=10, Features = 1175
10209: E[0:02:01]-R[0:07:50]: Return=-57.00, Steps=22, Features = 1185
10256: E[0:02:02]-R[0:07:51]: Return=-31.00, Steps=11, Features = 1187
10325: E[0:02:03]-R[0:07:51]: Return=-74.00, Steps=10, Features = 1187
10404: E[0:02:04]-R[0:07:51]: Return=-19.00, Steps=12, Features = 1189
10473: E[0:02:05]-R[0:07:51]: Return=-64.00, Steps=36, Features = 1191
10565: E[0:02:06]-R[0:07:49]: Return=-33.00, Steps=10, Features = 1197
10639: E[0:02:07]-R[0:07:49]: Return=-51.00, Steps=11, Features = 1200
10740: E[0:02:08]-R[0:07:47]: Return=-13.00, Steps=10, Features = 1205
10827: E[0:02:09]-R[0:07:47]: Return=-96.00, Steps=35, Features = 1210
10891: E[0:02:10]-R[0:07:47]: Return=-89.00, Steps=21, Features = 1217
10991: E[0:02:11]-R[0:07:45]: Return=-77.00, Steps=26, Features = 1223
11081: E[0:02:12]-R[0:07:45]: Return=-14.00, Steps=11, Features = 1226
11174: E[0:02:14]-R[0:07:45]: Return=-27.00, Steps=37, Features = 1227
11298: E[0:02:16]-R[0:07:45]: Return=-50.00, Steps=43, Features = 1237
11350: E[0:02:17]-R[0:07:45]: Return=-75.00, Steps=22, Features = 1238
11429: E[0:02:18]-R[0:07:45]: Return=-76.00, Steps=14, Features = 1247
11540: E[0:02:19]-R[0:07:44]: Return=-32.00, Steps=60, Features = 1256
11633: E[0:02:20]-R[0:07:43]: Return=-16.00, Steps=11, Features = 1266
11715: E[0:02:22]-R[0:07:43]: Return=-33.00, Steps=11, Features = 1268
11817: E[0:02:23]-R[0:07:41]: Return=-81.00, Steps=22, Features = 1268
11897: E[0:02:24]-R[0:07:40]: Return=-56.00, Steps=31, Features = 1275
11974: E[0:02:25]-R[0:07:40]: Return=-34.00, Steps=11, Features = 1287
12060: E[0:02:26]-R[0:07:40]: Return=-85.00, Steps=15, Features = 1291
