============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
131: E[0:00:01]-R[0:07:59]: Return=-179.00, Steps=131, Features = 52
268: E[0:00:02]-R[0:07:30]: Return=-42.00, Steps=15, Features = 52
422: E[0:00:04]-R[0:06:52]: Return=-78.00, Steps=14, Features = 58
599: E[0:00:05]-R[0:06:23]: Return=-116.00, Steps=46, Features = 60
764: E[0:00:06]-R[0:06:07]: Return=-74.00, Steps=10, Features = 60
942: E[0:00:07]-R[0:05:57]: Return=-98.00, Steps=38, Features = 60
1147: E[0:00:09]-R[0:06:07]: Return=-270.00, Steps=160, Features = 61
1280: E[0:00:10]-R[0:06:09]: Return=-71.00, Steps=10, Features = 61
1360: E[0:00:11]-R[0:06:25]: Return=-59.00, Steps=24, Features = 63
1500: E[0:00:12]-R[0:06:21]: Return=-85.00, Steps=18, Features = 64
1628: E[0:00:13]-R[0:06:22]: Return=-36.00, Steps=26, Features = 64
1766: E[0:00:14]-R[0:06:24]: Return=-64.00, Steps=21, Features = 64
1919: E[0:00:15]-R[0:06:22]: Return=-66.00, Steps=31, Features = 66
2051: E[0:00:16]-R[0:06:21]: Return=-57.00, Steps=13, Features = 67
2156: E[0:00:17]-R[0:06:28]: Return=-15.00, Steps=20, Features = 67
2258: E[0:00:19]-R[0:06:31]: Return=-58.00, Steps=13, Features = 68
2359: E[0:00:20]-R[0:06:36]: Return=-73.00, Steps=10, Features = 68
2475: E[0:00:21]-R[0:06:36]: Return=-77.00, Steps=11, Features = 68
2554: E[0:00:22]-R[0:06:43]: Return=-77.00, Steps=14, Features = 68
2687: E[0:00:23]-R[0:06:40]: Return=-46.00, Steps=48, Features = 69
2803: E[0:00:24]-R[0:06:41]: Return=-81.00, Steps=19, Features = 69
2974: E[0:00:25]-R[0:06:34]: Return=-18.00, Steps=26, Features = 70
3153: E[0:00:26]-R[0:06:27]: Return=-124.00, Steps=58, Features = 72
3316: E[0:00:27]-R[0:06:22]: Return=-33.00, Steps=12, Features = 72
3458: E[0:00:28]-R[0:06:18]: Return=-10.00, Steps=16, Features = 74
3546: E[0:00:29]-R[0:06:24]: Return=-84.00, Steps=31, Features = 74
3672: E[0:00:30]-R[0:06:24]: Return=-132.00, Steps=40, Features = 74
3760: E[0:00:32]-R[0:06:27]: Return=1.00, Steps=13, Features = 74
3913: E[0:00:33]-R[0:06:23]: Return=-72.00, Steps=10, Features = 75
4076: E[0:00:34]-R[0:06:18]: Return=-82.00, Steps=20, Features = 75
4189: E[0:00:35]-R[0:06:19]: Return=8.00, Steps=11, Features = 75
4371: E[0:00:36]-R[0:06:15]: Return=-27.00, Steps=39, Features = 75
4514: E[0:00:37]-R[0:06:13]: Return=-38.00, Steps=10, Features = 75
4625: E[0:00:38]-R[0:06:13]: Return=-56.00, Steps=12, Features = 76
