============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
146: E[0:00:01]-R[0:05:49]: Return=-68.00, Steps=10, Features = 52
303: E[0:00:02]-R[0:05:37]: Return=-102.00, Steps=35, Features = 56
465: E[0:00:03]-R[0:05:33]: Return=-58.00, Steps=13, Features = 59
625: E[0:00:04]-R[0:05:32]: Return=-67.00, Steps=24, Features = 61
754: E[0:00:05]-R[0:05:43]: Return=-80.00, Steps=32, Features = 64
864: E[0:00:06]-R[0:06:02]: Return=-126.00, Steps=44, Features = 64
994: E[0:00:07]-R[0:06:08]: Return=-94.00, Steps=20, Features = 64
1207: E[0:00:09]-R[0:06:05]: Return=-35.00, Steps=90, Features = 64
1313: E[0:00:10]-R[0:06:13]: Return=-38.00, Steps=13, Features = 64
1493: E[0:00:11]-R[0:06:06]: Return=-65.00, Steps=45, Features = 67
1648: E[0:00:13]-R[0:06:14]: Return=-123.00, Steps=122, Features = 67
1797: E[0:00:14]-R[0:06:08]: Return=-67.00, Steps=11, Features = 68
1987: E[0:00:15]-R[0:06:02]: Return=-106.00, Steps=44, Features = 68
2150: E[0:00:16]-R[0:05:57]: Return=-14.00, Steps=12, Features = 71
2278: E[0:00:17]-R[0:05:58]: Return=-95.00, Steps=22, Features = 72
2453: E[0:00:18]-R[0:05:54]: Return=-86.00, Steps=25, Features = 73
2568: E[0:00:19]-R[0:05:59]: Return=-51.00, Steps=24, Features = 73
2676: E[0:00:21]-R[0:06:04]: Return=-72.00, Steps=11, Features = 73
2826: E[0:00:22]-R[0:06:01]: Return=-56.00, Steps=11, Features = 73
