============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/4-4-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:12:03]: Return=0.00, Steps=100, Features = 400
400: E[0:00:03]-R[0:10:45]: Return=0.00, Steps=100, Features = 400
600: E[0:00:04]-R[0:10:18]: Return=0.00, Steps=100, Features = 400
800: E[0:00:05]-R[0:10:03]: Return=9.00, Steps=100, Features = 400
1000: E[0:00:06]-R[0:09:50]: Return=0.00, Steps=100, Features = 400
1200: E[0:00:07]-R[0:09:49]: Return=0.00, Steps=100, Features = 400
1400: E[0:00:08]-R[0:09:54]: Return=4.00, Steps=100, Features = 400
1600: E[0:00:09]-R[0:09:42]: Return=2.00, Steps=100, Features = 400
1800: E[0:00:11]-R[0:09:44]: Return=0.00, Steps=100, Features = 400
2000: E[0:00:12]-R[0:09:43]: Return=0.00, Steps=100, Features = 400
2200: E[0:00:13]-R[0:09:38]: Return=6.00, Steps=100, Features = 400
2400: E[0:00:14]-R[0:09:35]: Return=2.00, Steps=100, Features = 400
2600: E[0:00:15]-R[0:09:32]: Return=6.00, Steps=100, Features = 400
2800: E[0:00:16]-R[0:09:27]: Return=7.00, Steps=100, Features = 400
3000: E[0:00:17]-R[0:09:21]: Return=0.00, Steps=100, Features = 400
3200: E[0:00:18]-R[0:09:15]: Return=0.00, Steps=100, Features = 400
3400: E[0:00:19]-R[0:09:10]: Return=0.00, Steps=100, Features = 400
3600: E[0:00:20]-R[0:09:06]: Return=0.00, Steps=100, Features = 400
3800: E[0:00:21]-R[0:09:02]: Return=0.00, Steps=100, Features = 400
4000: E[0:00:22]-R[0:08:59]: Return=0.00, Steps=100, Features = 400
4200: E[0:00:23]-R[0:08:55]: Return=0.00, Steps=100, Features = 400
4500: E[0:00:25]-R[0:08:50]: Return=0.00, Steps=100, Features = 400
4700: E[0:00:26]-R[0:08:50]: Return=0.00, Steps=100, Features = 400
4900: E[0:00:27]-R[0:08:47]: Return=0.00, Steps=100, Features = 400
5100: E[0:00:28]-R[0:08:44]: Return=0.00, Steps=100, Features = 400
5300: E[0:00:29]-R[0:08:42]: Return=0.00, Steps=100, Features = 400
5500: E[0:00:30]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
5700: E[0:00:31]-R[0:08:37]: Return=9.00, Steps=100, Features = 400
5900: E[0:00:32]-R[0:08:34]: Return=2.00, Steps=100, Features = 400
6100: E[0:00:33]-R[0:08:32]: Return=1.00, Steps=100, Features = 400
6300: E[0:00:34]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
6500: E[0:00:35]-R[0:08:28]: Return=0.00, Steps=100, Features = 400
6666 >>> E[0:00:36]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
6900: E[0:00:38]-R[0:08:28]: Return=0.00, Steps=100, Features = 400
7200: E[0:00:39]-R[0:08:23]: Return=0.00, Steps=100, Features = 400
7500: E[0:00:41]-R[0:08:20]: Return=6.00, Steps=100, Features = 400
7700: E[0:00:42]-R[0:08:18]: Return=0.00, Steps=100, Features = 400
8000: E[0:00:43]-R[0:08:15]: Return=13.00, Steps=100, Features = 400
8200: E[0:00:44]-R[0:08:14]: Return=0.00, Steps=100, Features = 400
8400: E[0:00:45]-R[0:08:12]: Return=0.00, Steps=100, Features = 400
8600: E[0:00:46]-R[0:08:10]: Return=0.00, Steps=100, Features = 400
8800: E[0:00:47]-R[0:08:09]: Return=0.00, Steps=100, Features = 400
9000: E[0:00:48]-R[0:08:07]: Return=8.00, Steps=100, Features = 400
9200: E[0:00:49]-R[0:08:05]: Return=0.00, Steps=100, Features = 400
9400: E[0:00:50]-R[0:08:04]: Return=0.00, Steps=100, Features = 400
9600: E[0:00:51]-R[0:08:02]: Return=0.00, Steps=100, Features = 400
9900: E[0:00:53]-R[0:08:00]: Return=0.00, Steps=100, Features = 400
10100: E[0:00:54]-R[0:07:59]: Return=0.00, Steps=100, Features = 400
10300: E[0:00:55]-R[0:07:57]: Return=0.00, Steps=100, Features = 400
10500: E[0:00:56]-R[0:07:56]: Return=0.00, Steps=100, Features = 400
10700: E[0:00:57]-R[0:07:54]: Return=0.00, Steps=100, Features = 400
10900: E[0:00:58]-R[0:07:53]: Return=5.00, Steps=100, Features = 400
11100: E[0:00:59]-R[0:07:52]: Return=0.00, Steps=100, Features = 400
11300: E[0:01:00]-R[0:07:50]: Return=0.00, Steps=100, Features = 400
11500: E[0:01:01]-R[0:07:49]: Return=0.00, Steps=100, Features = 400
11800: E[0:01:02]-R[0:07:46]: Return=0.00, Steps=100, Features = 400
12000: E[0:01:03]-R[0:07:45]: Return=0.00, Steps=100, Features = 400
12200: E[0:01:04]-R[0:07:44]: Return=0.00, Steps=100, Features = 400
12400: E[0:01:05]-R[0:07:42]: Return=0.00, Steps=100, Features = 400
