============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/6-6-result.txt
Max Steps: 		200000
Performance Checks:	10
200: E[0:00:01]-R[0:16:52]: Return=138.00, Steps=200, Features = 32
600: E[0:00:03]-R[0:15:32]: Return=127.00, Steps=200, Features = 32
1000: E[0:00:05]-R[0:15:19]: Return=159.50, Steps=200, Features = 32
1400: E[0:00:06]-R[0:14:34]: Return=147.00, Steps=200, Features = 32
1800: E[0:00:08]-R[0:15:00]: Return=100.50, Steps=200, Features = 32
2000: E[0:00:09]-R[0:15:10]: Return=121.75, Steps=200, Features = 32
2400: E[0:00:11]-R[0:15:16]: Return=123.75, Steps=200, Features = 32
2800: E[0:00:13]-R[0:15:27]: Return=157.50, Steps=200, Features = 32
3000: E[0:00:14]-R[0:15:31]: Return=161.25, Steps=200, Features = 32
3200: E[0:00:15]-R[0:15:35]: Return=136.50, Steps=200, Features = 32
3600: E[0:00:17]-R[0:15:25]: Return=91.50, Steps=200, Features = 32
4000: E[0:00:19]-R[0:15:23]: Return=105.25, Steps=200, Features = 32
4200: E[0:00:20]-R[0:15:25]: Return=256.75, Steps=200, Features = 32
4600: E[0:00:22]-R[0:15:19]: Return=73.50, Steps=200, Features = 32
5000: E[0:00:23]-R[0:15:08]: Return=164.25, Steps=200, Features = 32
5400: E[0:00:25]-R[0:15:14]: Return=145.25, Steps=200, Features = 32
5800: E[0:00:27]-R[0:15:10]: Return=148.50, Steps=200, Features = 32
6200: E[0:00:29]-R[0:15:10]: Return=166.25, Steps=200, Features = 32
6400: E[0:00:30]-R[0:15:12]: Return=136.25, Steps=200, Features = 32
6800: E[0:00:32]-R[0:15:15]: Return=122.50, Steps=200, Features = 32
7200: E[0:00:34]-R[0:15:14]: Return=116.25, Steps=200, Features = 32
7600: E[0:00:36]-R[0:15:13]: Return=182.25, Steps=200, Features = 32
8000: E[0:00:38]-R[0:15:13]: Return=200.50, Steps=200, Features = 32
8200: E[0:00:39]-R[0:15:14]: Return=167.50, Steps=200, Features = 32
8600: E[0:00:41]-R[0:15:14]: Return=92.00, Steps=200, Features = 32
9000: E[0:00:43]-R[0:15:11]: Return=138.75, Steps=200, Features = 32
9200: E[0:00:44]-R[0:15:13]: Return=205.00, Steps=200, Features = 32
9600: E[0:00:46]-R[0:15:13]: Return=117.75, Steps=200, Features = 32
9800: E[0:00:47]-R[0:15:14]: Return=127.25, Steps=200, Features = 32
10200: E[0:00:49]-R[0:15:05]: Return=170.25, Steps=200, Features = 32
10400: E[0:00:50]-R[0:15:06]: Return=125.75, Steps=200, Features = 32
10800: E[0:00:52]-R[0:15:06]: Return=168.75, Steps=200, Features = 32
11200: E[0:00:54]-R[0:15:05]: Return=187.50, Steps=200, Features = 32
11600: E[0:00:55]-R[0:15:01]: Return=114.50, Steps=200, Features = 32
11800: E[0:00:56]-R[0:15:01]: Return=175.75, Steps=200, Features = 32
12200: E[0:00:58]-R[0:14:59]: Return=112.00, Steps=200, Features = 32
12600: E[0:01:00]-R[0:14:57]: Return=151.00, Steps=200, Features = 32
13000: E[0:01:02]-R[0:14:55]: Return=239.50, Steps=200, Features = 32
13400: E[0:01:04]-R[0:14:51]: Return=116.00, Steps=200, Features = 32
13800: E[0:01:06]-R[0:14:49]: Return=140.25, Steps=200, Features = 32
14000: E[0:01:07]-R[0:14:49]: Return=170.75, Steps=200, Features = 32
14400: E[0:01:09]-R[0:14:47]: Return=94.50, Steps=200, Features = 32
14600: E[0:01:10]-R[0:14:48]: Return=214.00, Steps=200, Features = 32
15000: E[0:01:12]-R[0:14:45]: Return=80.25, Steps=200, Features = 32
15400: E[0:01:13]-R[0:14:40]: Return=104.25, Steps=200, Features = 32
15600: E[0:01:14]-R[0:14:40]: Return=139.00, Steps=200, Features = 32
16000: E[0:01:16]-R[0:14:36]: Return=193.75, Steps=200, Features = 32
16400: E[0:01:18]-R[0:14:32]: Return=97.75, Steps=200, Features = 32
16800: E[0:01:20]-R[0:14:32]: Return=102.75, Steps=200, Features = 32
17000: E[0:01:21]-R[0:14:32]: Return=195.00, Steps=200, Features = 32
17200: E[0:01:22]-R[0:14:32]: Return=86.25, Steps=200, Features = 32
17600: E[0:01:24]-R[0:14:31]: Return=149.75, Steps=200, Features = 32
18000: E[0:01:26]-R[0:14:29]: Return=133.25, Steps=200, Features = 32
18400: E[0:01:28]-R[0:14:27]: Return=173.25, Steps=200, Features = 32
18600: E[0:01:29]-R[0:14:27]: Return=131.50, Steps=200, Features = 32
19000: E[0:01:31]-R[0:14:23]: Return=179.50, Steps=200, Features = 32
19400: E[0:01:32]-R[0:14:19]: Return=114.00, Steps=200, Features = 32
19800: E[0:01:34]-R[0:14:16]: Return=108.50, Steps=200, Features = 32
20000: E[0:01:35]-R[0:14:17]: Return=180.00, Steps=200, Features = 32
20000 >>> E[0:01:36]-R[0:14:21]: Return=95.00, Steps=200, Features = 32
20400: E[0:01:38]-R[0:14:20]: Return=107.25, Steps=200, Features = 32
20800: E[0:01:40]-R[0:14:18]: Return=190.00, Steps=200, Features = 32
21200: E[0:01:41]-R[0:14:16]: Return=126.25, Steps=200, Features = 32
21600: E[0:01:43]-R[0:14:12]: Return=115.50, Steps=200, Features = 32
22000: E[0:01:45]-R[0:14:09]: Return=126.50, Steps=200, Features = 32
22400: E[0:01:47]-R[0:14:06]: Return=178.00, Steps=200, Features = 32
22800: E[0:01:48]-R[0:14:03]: Return=125.50, Steps=200, Features = 32
23200: E[0:01:50]-R[0:14:01]: Return=134.00, Steps=200, Features = 32
23600: E[0:01:52]-R[0:13:56]: Return=124.25, Steps=200, Features = 32
24000: E[0:01:54]-R[0:13:54]: Return=216.25, Steps=200, Features = 32
24400: E[0:01:55]-R[0:13:51]: Return=166.75, Steps=200, Features = 32
24800: E[0:01:57]-R[0:13:48]: Return=161.50, Steps=200, Features = 32
25000: E[0:01:58]-R[0:13:48]: Return=148.25, Steps=200, Features = 32
25400: E[0:02:00]-R[0:13:48]: Return=146.50, Steps=200, Features = 32
25800: E[0:02:02]-R[0:13:47]: Return=102.25, Steps=200, Features = 32
26200: E[0:02:04]-R[0:13:45]: Return=168.75, Steps=200, Features = 32
26600: E[0:02:06]-R[0:13:43]: Return=127.75, Steps=200, Features = 32
27000: E[0:02:08]-R[0:13:40]: Return=105.00, Steps=200, Features = 32
27400: E[0:02:10]-R[0:13:39]: Return=176.00, Steps=200, Features = 32
27800: E[0:02:12]-R[0:13:37]: Return=159.00, Steps=200, Features = 32
28200: E[0:02:14]-R[0:13:35]: Return=148.75, Steps=200, Features = 32
28600: E[0:02:16]-R[0:13:34]: Return=144.50, Steps=200, Features = 32
28800: E[0:02:17]-R[0:13:34]: Return=114.50, Steps=200, Features = 32
29200: E[0:02:19]-R[0:13:31]: Return=121.25, Steps=200, Features = 32
29400: E[0:02:20]-R[0:13:31]: Return=118.75, Steps=200, Features = 32
29600: E[0:02:21]-R[0:13:31]: Return=122.00, Steps=200, Features = 32
30000: E[0:02:23]-R[0:13:28]: Return=118.25, Steps=200, Features = 32
30400: E[0:02:25]-R[0:13:26]: Return=146.50, Steps=200, Features = 32
30800: E[0:02:26]-R[0:13:24]: Return=180.25, Steps=200, Features = 32
31000: E[0:02:27]-R[0:13:24]: Return=125.00, Steps=200, Features = 32
31400: E[0:02:29]-R[0:13:22]: Return=137.50, Steps=200, Features = 32
31600: E[0:02:30]-R[0:13:22]: Return=113.25, Steps=200, Features = 32
31800: E[0:02:32]-R[0:13:21]: Return=123.50, Steps=200, Features = 32
32200: E[0:02:34]-R[0:13:20]: Return=132.75, Steps=200, Features = 32
32600: E[0:02:35]-R[0:13:18]: Return=149.00, Steps=200, Features = 32
33000: E[0:02:37]-R[0:13:15]: Return=123.75, Steps=200, Features = 32
33400: E[0:02:39]-R[0:13:12]: Return=104.25, Steps=200, Features = 32
33600: E[0:02:40]-R[0:13:12]: Return=126.25, Steps=200, Features = 32
34000: E[0:02:42]-R[0:13:09]: Return=138.00, Steps=200, Features = 32
34400: E[0:02:43]-R[0:13:06]: Return=90.25, Steps=200, Features = 32
34800: E[0:02:45]-R[0:13:05]: Return=172.25, Steps=200, Features = 32
35200: E[0:02:47]-R[0:13:03]: Return=90.75, Steps=200, Features = 32
35600: E[0:02:49]-R[0:13:01]: Return=185.75, Steps=200, Features = 32
36000: E[0:02:51]-R[0:12:59]: Return=105.75, Steps=200, Features = 32
36200: E[0:02:52]-R[0:12:58]: Return=113.75, Steps=200, Features = 32
36400: E[0:02:53]-R[0:12:58]: Return=156.25, Steps=200, Features = 32
36600: E[0:02:54]-R[0:12:57]: Return=113.50, Steps=200, Features = 32
37000: E[0:02:56]-R[0:12:56]: Return=129.50, Steps=200, Features = 32
37400: E[0:02:58]-R[0:12:54]: Return=145.00, Steps=200, Features = 32
37800: E[0:03:00]-R[0:12:51]: Return=155.25, Steps=200, Features = 32
38200: E[0:03:02]-R[0:12:49]: Return=146.75, Steps=200, Features = 32
38400: E[0:03:03]-R[0:12:49]: Return=236.00, Steps=200, Features = 32
38800: E[0:03:04]-R[0:12:46]: Return=130.75, Steps=200, Features = 32
39000: E[0:03:06]-R[0:12:46]: Return=178.75, Steps=200, Features = 32
39400: E[0:03:07]-R[0:12:43]: Return=92.50, Steps=200, Features = 32
39800: E[0:03:09]-R[0:12:41]: Return=185.25, Steps=200, Features = 32
40000 >>> E[0:03:10]-R[0:12:42]: Return=136.00, Steps=200, Features = 32
40400: E[0:03:12]-R[0:12:40]: Return=159.75, Steps=200, Features = 32
40800: E[0:03:14]-R[0:12:37]: Return=136.75, Steps=200, Features = 32
41000: E[0:03:15]-R[0:12:37]: Return=136.50, Steps=200, Features = 32
41400: E[0:03:17]-R[0:12:35]: Return=142.00, Steps=200, Features = 32
41800: E[0:03:19]-R[0:12:32]: Return=151.25, Steps=200, Features = 32
42200: E[0:03:21]-R[0:12:30]: Return=175.50, Steps=200, Features = 32
42600: E[0:03:23]-R[0:12:28]: Return=146.25, Steps=200, Features = 32
42800: E[0:03:24]-R[0:12:28]: Return=79.00, Steps=200, Features = 32
43200: E[0:03:25]-R[0:12:26]: Return=203.75, Steps=200, Features = 32
43400: E[0:03:26]-R[0:12:25]: Return=202.50, Steps=200, Features = 32
43800: E[0:03:28]-R[0:12:23]: Return=178.75, Steps=200, Features = 32
44000: E[0:03:29]-R[0:12:22]: Return=142.50, Steps=200, Features = 32
44400: E[0:03:31]-R[0:12:20]: Return=151.50, Steps=200, Features = 32
44800: E[0:03:33]-R[0:12:18]: Return=163.00, Steps=200, Features = 32
45200: E[0:03:35]-R[0:12:16]: Return=175.75, Steps=200, Features = 32
45600: E[0:03:37]-R[0:12:14]: Return=170.50, Steps=200, Features = 32
45800: E[0:03:38]-R[0:12:14]: Return=152.00, Steps=200, Features = 32
46200: E[0:03:40]-R[0:12:12]: Return=139.00, Steps=200, Features = 32
46600: E[0:03:42]-R[0:12:09]: Return=123.00, Steps=200, Features = 32
47000: E[0:03:43]-R[0:12:07]: Return=97.00, Steps=200, Features = 32
47400: E[0:03:45]-R[0:12:05]: Return=122.00, Steps=200, Features = 32
47800: E[0:03:47]-R[0:12:03]: Return=161.25, Steps=200, Features = 32
48200: E[0:03:49]-R[0:12:01]: Return=167.50, Steps=200, Features = 32
48600: E[0:03:50]-R[0:11:57]: Return=162.00, Steps=200, Features = 32
49000: E[0:03:52]-R[0:11:56]: Return=127.50, Steps=200, Features = 32
49400: E[0:03:54]-R[0:11:53]: Return=148.75, Steps=200, Features = 32
49800: E[0:03:56]-R[0:11:51]: Return=184.00, Steps=200, Features = 32
50200: E[0:03:58]-R[0:11:49]: Return=137.75, Steps=200, Features = 32
50600: E[0:04:00]-R[0:11:47]: Return=168.75, Steps=200, Features = 32
51000: E[0:04:01]-R[0:11:45]: Return=183.75, Steps=200, Features = 32
51400: E[0:04:03]-R[0:11:42]: Return=100.25, Steps=200, Features = 32
51800: E[0:04:05]-R[0:11:40]: Return=161.50, Steps=200, Features = 32
52200: E[0:04:07]-R[0:11:38]: Return=148.50, Steps=200, Features = 32
52600: E[0:04:08]-R[0:11:36]: Return=140.50, Steps=200, Features = 32
53000: E[0:04:10]-R[0:11:34]: Return=163.50, Steps=200, Features = 32
53400: E[0:04:12]-R[0:11:32]: Return=107.75, Steps=200, Features = 32
53600: E[0:04:13]-R[0:11:31]: Return=145.00, Steps=200, Features = 32
54000: E[0:04:15]-R[0:11:29]: Return=100.75, Steps=200, Features = 32
54400: E[0:04:17]-R[0:11:27]: Return=118.50, Steps=200, Features = 32
54800: E[0:04:19]-R[0:11:25]: Return=187.50, Steps=200, Features = 32
55200: E[0:04:21]-R[0:11:23]: Return=118.75, Steps=200, Features = 32
55600: E[0:04:22]-R[0:11:22]: Return=221.50, Steps=200, Features = 32
55800: E[0:04:24]-R[0:11:21]: Return=183.25, Steps=200, Features = 32
56000: E[0:04:25]-R[0:11:20]: Return=171.25, Steps=200, Features = 32
56400: E[0:04:26]-R[0:11:18]: Return=169.75, Steps=200, Features = 32
56800: E[0:04:28]-R[0:11:16]: Return=101.00, Steps=200, Features = 32
57000: E[0:04:29]-R[0:11:15]: Return=130.00, Steps=200, Features = 32
57400: E[0:04:31]-R[0:11:13]: Return=190.00, Steps=200, Features = 32
57800: E[0:04:33]-R[0:11:11]: Return=136.75, Steps=200, Features = 32
58200: E[0:04:35]-R[0:11:09]: Return=144.75, Steps=200, Features = 32
58600: E[0:04:37]-R[0:11:07]: Return=112.75, Steps=200, Features = 32
59000: E[0:04:38]-R[0:11:05]: Return=187.00, Steps=200, Features = 32
59400: E[0:04:40]-R[0:11:03]: Return=143.50, Steps=200, Features = 32
59600: E[0:04:41]-R[0:11:02]: Return=157.75, Steps=200, Features = 32
59800: E[0:04:42]-R[0:11:02]: Return=143.25, Steps=200, Features = 32
60000: E[0:04:43]-R[0:11:01]: Return=159.25, Steps=200, Features = 32
60000 >>> E[0:04:44]-R[0:11:02]: Return=27.00, Steps=200, Features = 32
60400: E[0:04:46]-R[0:11:00]: Return=104.50, Steps=200, Features = 32
60800: E[0:04:48]-R[0:10:58]: Return=122.75, Steps=200, Features = 32
61000: E[0:04:49]-R[0:10:58]: Return=199.75, Steps=200, Features = 32
61400: E[0:04:51]-R[0:10:56]: Return=133.75, Steps=200, Features = 32
61600: E[0:04:52]-R[0:10:55]: Return=143.75, Steps=200, Features = 32
62000: E[0:04:54]-R[0:10:53]: Return=98.00, Steps=200, Features = 32
62200: E[0:04:55]-R[0:10:53]: Return=145.75, Steps=200, Features = 32
62400: E[0:04:56]-R[0:10:52]: Return=223.25, Steps=200, Features = 32
62600: E[0:04:57]-R[0:10:52]: Return=115.75, Steps=200, Features = 32
62800: E[0:04:58]-R[0:10:51]: Return=233.75, Steps=200, Features = 32
63200: E[0:05:00]-R[0:10:49]: Return=131.50, Steps=200, Features = 32
63600: E[0:05:02]-R[0:10:48]: Return=215.50, Steps=200, Features = 32
63800: E[0:05:03]-R[0:10:47]: Return=137.25, Steps=200, Features = 32
64200: E[0:05:05]-R[0:10:45]: Return=88.25, Steps=200, Features = 32
64400: E[0:05:06]-R[0:10:45]: Return=82.00, Steps=200, Features = 32
64800: E[0:05:08]-R[0:10:43]: Return=104.00, Steps=200, Features = 32
65000: E[0:05:09]-R[0:10:42]: Return=134.50, Steps=200, Features = 32
65400: E[0:05:11]-R[0:10:40]: Return=71.25, Steps=200, Features = 32
65800: E[0:05:13]-R[0:10:38]: Return=173.25, Steps=200, Features = 32
66200: E[0:05:15]-R[0:10:36]: Return=162.50, Steps=200, Features = 32
66600: E[0:05:17]-R[0:10:34]: Return=153.75, Steps=200, Features = 32
67000: E[0:05:19]-R[0:10:33]: Return=86.00, Steps=200, Features = 32
67200: E[0:05:20]-R[0:10:32]: Return=130.25, Steps=200, Features = 32
67600: E[0:05:22]-R[0:10:30]: Return=153.50, Steps=200, Features = 32
